Attribute,IsTemplate,Description,Valid Values,DependsOn,Properties,Required,Parent,DependsOn Component,Source,columnType,Format,Maximum,Minimum,Pattern
Check List Enum,,,"ab, cd, ef, gh",,,True,DataProperty,,,,,,,
Check List Like,,,,,,True,DataProperty,,,,,,,
Check List Like Enum,,,"ab, cd, ef, gh",,,True,DataProperty,,,,,,,
Check List Strict,,,,,,True,DataProperty,,,,,,,
Check List Enum Strict,,,"ab, cd, ef, gh",,,True,DataProperty,,,,,,,
Check Regex List,,,,,,True,DataProperty,,,,,,,
Check Regex List Strict,,,,,,True,DataProperty,,,,,,,
Check Regex List Like,,,,,,True,DataProperty,,,,,,,
Check Regex Single,,,,,,True,DataProperty,,,string,,,,[a-b]
Check Regex Format,,,,,,True,DataProperty,,,string,,,,^[a-b]
Check Regex Integer,,,,,,True,DataProperty,,,,,,,
Check Num,,,,,,True,DataProperty,,,,,,,
Check Float,,,,,,True,DataProperty,,,number,,,,
Check Int,,,,,,True,DataProperty,,,,,,,
Check String,,,,,,True,DataProperty,,,,,,,
Check URL,,,,,,True,DataProperty,,,string,uri,,,
Check Match at Least,,,,,,True,DataProperty,,,,,,,
Check Match Exactly,,,,,,True,DataProperty,,,,,,,
Check Match None,,,,,,True,DataProperty,,,,,,,
Check Match at Least values,,,,,,True,DataProperty,,,,,,,
Check Match Exactly values,,,,,,True,DataProperty,,,,,,,
Check Match None values,,,,,,True,DataProperty,,,,,,,
Check Recommended,,,,,,False,DataProperty,,,,,,,
Check Ages,,,,,,True,DataProperty,,,,,,,
Check Unique,,,,,,True,DataProperty,,,,,,,
Check Range,,,,,,True,DataProperty,,,,,,,
Check Date,,,,,,True,DataProperty,,,string,date,,,
Check NA,,,,,,True,DataProperty,,,,,,,
MockRDB,True,,,"Component, MockRDB_id, SourceManifest",,False,DataType,,,,,,,
MockRDB_id,,,,,,True,DataProperty,,,,,,,
SourceManifest,,,,,,True,DataProperty,,,,,,,
MockFilename,True,,,"Component, Filename",,False,DataType,,,,,,,
JSONSchemaComponent,True,Component to hold attributes for testing JSON Schemas,,"Component, No Rules, No Rules Not Required, String, String Not Required, Enum, Enum Not Required, Date, URL, InRange, Regex, List, List Not Required, List Enum, List Enum Not Required, List Boolean, List, Integer, List InRange",,False,DataType,,,,,,,
No Rules,,,,,,True,DataProperty,,,,,,,
No Rules Not Required,,,,,,False,DataProperty,,,,,,,
String,,,,,,True,DataProperty,,,string,,,,
String Not Required,,,,,,False,DataProperty,,,string,,,,
Enum,,,"ab, cd, ef, gh",,,True,DataProperty,,,string,,,,
Enum Not Required,,,"ab, cd, ef, gh",,,False,DataProperty,,,string,,,,
Date,,,,,,True,DataProperty,,,string,date,,,
URL,,,,,,True,DataProperty,,,string,uri,,,
InRange,,,,,,True,DataProperty,,,number,,,,
Regex,,,,,,True,DataProperty,,,string,,,,
List,,,,,,True,DataProperty,,,string_list,,,,
List Not Required,,,,,,False,DataProperty,,,string_list,,,,
List Enum,,,"ab, cd, ef, gh",,,True,DataProperty,,,string_list,,,,
List Enum Not Required,,,"ab, cd, ef, gh",,,False,DataProperty,,,string_list,,,,
List Boolean,,,,,,True,DataProperty,,,boolean_list,,,,
List Integer,,,,,,True,DataProperty,,,integer_list,,,,
List InRange,,,,,,True,DataProperty,,,integer_list,,,,
TypeDefinitionComponent,True,Component to check type specification,,"Component, String type, String type caps, Int type, Int type caps, Num type, Num type caps, Nan type, Missing type, Boolean type, Boolean type caps",,False,DataType,,,,,,,
String type,,,,,,True,DataProperty,,,string,,,,
String type caps,,,,,,True,DataProperty,,,STRING,,,,
Int type,,,,,,True,DataProperty,,,integer,,,,
Int type caps,,,,,,True,DataProperty,,,INTEGER,,,,
Num type,,,,,,True,DataProperty,,,number,,,,
Num type caps,,,,,,True,DataProperty,,,NUMBER,,,,
Nan type,,,,,,True,DataProperty,,,,,,,
Missing type,,,,,,True,DataProperty,,,,,,,
Boolean type,,,,,,True,DataProperty,,,boolean,,,,
Boolean type caps,,,,,,True,DataProperty,,,BOOLEAN,,,,
RangeComponent,True,Component to ensure maximum and minimum can be set correctly,,"Component, Maximum Integer, Minimum Integer, Maximum Float, Minimum Float, Maximum Minimum, Maximum Minimum Integer List, Maximum Minimum Validation Rule",,False,DataType,,,,,,,
Maximum Integer,,,,,,True,DataProperty,,,integer,,100.0,,
Minimum Integer,,,,,,True,DataProperty,,,integer,,,10.0,
Maximum Float,,,,,,True,DataProperty,,,number,,100.5,,
Minimum Float,,,,,,True,DataProperty,,,number,,,10.8,
Maximum Minimum,,,,,,True,DataProperty,,,integer,,100.0,10.0,
Maximum Minimum Integer List,,,,,,True,DataProperty,,,integer_list,,100.0,10.0,
Maximum Minimum Validation Rule,,,,,,True,DataProperty,,,integer,,200.0,10.0,
